Pipecolate,HMDB00070,C00408,196471,183738,292763,197885,268596,108048,220373,244199,272073,154254,163097,275948,171183,209693,181285,210391,314806,239903,196953,196668,194877,228424,467719,232982,96587,169468,258735,247676,230182,271150,224058,260304,196803,179189,174121,219033,204049,224517,198343,206464,192070,294087,289316,289063,310447,244848,219375,350865,224558,159449,132964,215637,336083,209467,235288,271474,275690,215552,127903,277871,198397,502158,254184,232268,299637,108835,180503,155417,185782,251954,163525,292430
Agmatine,HMDB01432,C00179,180916,138503,178496,132996,173021,153858,176896,137540,173604,173878,160479,171689,147518,185565,167754,163315,184264,159692,212882,125610,123543,128591,152657,153473,85508,93023,136180,159092,159507,144952,157065,114476,98764,119876,140688,127467,143102,159968,131735,74865,179309,154548,131611,115581,182094,160814,175742,189072,121190,154987,108365,114965,160530,152686,127695,155721,150337,182371,52663,118503,179855,162487,128559,122171,142343,154377,147258,132124,226011,123251,139778,151755
N-Acetylputrescine,HMDB02064,C02714,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Creatine,HMDB00064,C00300,470253,429281,421891,347638,335096,361698,353416,346356,416538,355109,288719,290479,334629,350275,308208,258970,300157,275040,321226,305037,298668,274346,298369,262674,229191,264010,233605,290253,241144,257780,312319,230578,203482,259716,248726,218173,281527,205014,201380,217801,267080,208927,192389,206103,185850,190968,206456,206071,196701,189065,176128,168579,197144,153008,168913,161072,177523,191976,185328,157025,159575,163742,167580,137497,148712,154000,154174,139101,155696,141494,118185,120996
Hydroxyproline,HMDB00725,C01157,402219,240279,413790,245889,826021,589377,277641,134573,560241,400956,206371,697863,432952,532884,507252,454797,283713,262816,421466,85758,326860,401230,295413,214129,189882,112215,530108,330280,356022,260810,595316,144221,69158,92892,315496,250708,607573,62459,123903,69279,1384912,262568,295194,317570,257225,592626,394723,780082,75029,651031,147801,345443,734043,442528,530889,528939,201611,483857,108040,296777,511690,606793,79759,172027,273212,217147,484296,314903,723872,461518,212088,426698
Aminolevulinate,HMDB01149,C00430,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Leucine /D-Norleucine,HMDB00687,C00123,1504029,1414005,2305156,1695500,2314634,1747705,2321148,1743753,2143265,1686591,1224325,1781643,2284031,2218321,1775477,1604392,2028925,1987667,2660336,1695927,1412742,2210133,1336171,1980230,969591,1266497,2047680,1944727,1139707,1505129,1315698,1107486,1187266,1133056,1771764,1094582,1423279,1013522,1730196,910301,1651354,1786021,1551072,1610866,1270618,1508565,1757037,1742259,1222304,1444038,1022722,1716857,1744477,1150042,1357833,1509191,1689253,1233936,694102,1244372,2180305,1804709,1221488,1530046,1873221,1236037,1018116,995412,1971886,1098110,1168127,1430698
iso-Leucine /allo-isoLeucine,HMDB00172/HMDB00557,C00407/C21096,471716,549472,728585,716534,848064,568380,790888,599335,714992,615626,417986,569360,827647,811586,615286,553446,741388,681059,879406,578002,511531,835380,406688,721676,392541,471556,784504,659989,447501,517305,459389,362056,418242,404010,603375,373684,430049,316405,639539,345761,533515,577612,553984,510051,466770,588141,531911,582292,413860,468528,339482,532805,622950,387184,534182,607937,594279,423971,246999,468935,765151,617438,432905,527873,597810,370995,339631,339118,628366,426422,410451,545453
Ornithine,HMDB0000214,C01602,703391,589183,768486,591735,874297,636426,652799,560203,602463,592310,675795,688090,688332,866097,708694,704170,986591,709344,832448,501129,588215,819506,521397,725615,414578,491836,758184,738863,607100,597038,636812,550434,456028,526915,559578,504036,725562,534219,487327,350088,677585,597459,593492,507917,648477,739498,595550,783856,511816,545421,551367,556465,691030,649885,651756,602984,574775,636599,269284,547253,690476,712055,492788,566570,615693,894306,519641,501800,712164,544371,520935,625363
Asparagine,HMDB00168,C00152,1703718,1381485,2191683,1455562,2753751,2081759,2374625,1451273,1763505,1535007,1206865,1667173,2071744,2529898,1910092,2225144,2164886,1657828,2055594,1580439,1024714,1985982,1429605,1670516,1213011,1582766,1668425,1779276,1387219,1472293,1398865,1590740,1135138,1606532,1945345,1388374,1316396,1026124,1663948,967364,2341650,2635841,1497046,1945922,1771921,2065115,2083004,1876883,1442427,1402945,1317808,1425057,2037088,1625227,2075431,1742426,1513039,2384919,780008,2170107,1673119,2017924,1592207,1514584,1224459,1356246,1198190,948469,1906959,1940748,1521508,2136261
