Current MS Compounds,QC(I)#1,QC(I)#2,QC(I)#3,QC(I)#4,QC(I)#5,QC(I)#6,QC(I)#7,QC(I)#8,QC(S)#1,QC(S)#2,QC(S)#3,QC(S)#4,QC(S)#5,QC(S)#6,QC(S)#7,QC(S)#8
2'-Deoxycytidine,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2'-Deoxyuridine,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Biopterin,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8902732,9148141,9186907,8060526,7954748,7958029,8002349,7972882
Anserine,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Cystine,301826,331198,359431,306027,320217,306950,319473,317689,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Cytidine,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,98904,80015,98078,77943,78208,91770,86294,81159
Uridine,728788,723513,723386,680145,681764,680073,692478,691570,108758,106240,103615,94064,99358,98618,100587,100756
isoValerylcarnitine,2523052,2337664,2374473,2851648,2891864,2672132,2694722,2643639,366245,303409,300526,395982,384132,339120,348519,354309
Neopterin,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Glycerophosphocholine,27536135,26798972,26479123,27437690,25040879,25909641,27472380,23890215,26305536,27736138,26888283,25023703,26031318,25522681,26028970,25779641
5-Methylcytidine,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Phosphotyrosine,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1522837,1627176,1590026,1544292,1568832,1617060,1594418,1692627
Succinylcarnitine,195149,200318,174565,252397,260768,318649,274555,263124,82224,82044,98743,81099,79208,98015,88749,84073
Thiamine,156114,143371,113176,135065,148994,140557,147531,156472,2547246,2210840,2358927,2453149,2506041,2483491,2378008,2471246
"2,3-Diphosphoglyceric Acid",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Deoxyguanosine,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1561374,1550527,1469308,1376797,1390391,1299400,1398374,1392889
Adenosine,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,227197,245161,231804,202345,216697,210372,207633,199943
Inosine,969888,974692,924284,823122,776390,834278,821604,826241,761590,767177,770896,720336,696765,680332,686762,686495
Glutarylcarnitine,730962,805464,730721,799769,798440,723043,798041,677093,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1-Methyladenosine,255664,307872,208842,186514,250949,260285,211961,186387,15990705,14607908,13242843,12712228,10658918,10761879,9609524,9396040
6-Methyladenosine,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,430189,413631,419138,359769,365282,364249,350346,368278
Guanosine,24037,28551,34224,23732,23846,19720,24268,32143,4122716,4208510,4185255,3882471,3602682,3759798,3532210,3639889
Retinal,9827,10231,9370,8793,10040,9525,10578,9731,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Retinol,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Argininosuccinate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,176032,200999,213086,213625,198180,199346,186126,197141
5'-Methylthioadenosine,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1407789,1421628,1388363,1233472,1203350,1205940,1181347,1188733
"N2,N2-Dimethylguanosine",179495,187823,177369,174338,171943,167795,166654,169115,58323,51782,48755,50846,56739,51648,52135,45335
UMP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,858803,839960,864636,823793,897242,847350,981915,851295
cAMP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,55655,41361,31153,31564,29240,29842,37334,42339
GMP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,135842,147813,149476,145138,151802,149604,142509,147001
